City,Month,AvgTemperature
Beijing,1,83.12
Beijing,1,85.46
Beijing,1,83.84
Beijing,1,82.94
Beijing,1,74.66
Beijing,1,81.86
Beijing,1,79.88
Beijing,1,73.4
Beijing,1,78.44
Beijing,1,78.08
Beijing,1,67.1
Beijing,1,75.56
Beijing,1,74.12
Beijing,1,83.3
Beijing,1,86
Beijing,1,78.98
Beijing,1,63.68
Beijing,1,56.84
Beijing,1,63.5
Beijing,1,69.8
Beijing,1,69.26
Beijing,1,50
Beijing,1,41.36
Beijing,1,65.12
Beijing,1,83.66
Beijing,1,80.06
Beijing,1,75.92
Beijing,1,80.6
Beijing,1,70.88
Beijing,1,65.84
Beijing,1,76.64
Beijing,2,82.94
Beijing,2,83.66
Beijing,2,90.14
Beijing,2,90.32
Beijing,2,86
Beijing,2,85.64
Beijing,2,90.68
Beijing,2,103.1
Beijing,2,96.44
Beijing,2,98.24
Beijing,2,101.3
Beijing,2,104.54
Beijing,2,82.76
Beijing,2,77.54
Beijing,2,92.66
Beijing,2,96.98
Beijing,2,109.76
Beijing,2,94.64
Beijing,2,93.74
Beijing,2,85.1
Beijing,2,89.96
Beijing,2,96.44
Beijing,2,80.96
Beijing,2,90.86
Beijing,2,95
Beijing,2,99.14
Beijing,2,97.88
Beijing,2,90.14
Beijing,2,87.62
Beijing,3,97.52
Beijing,3,119.84
Beijing,3,112.82
Beijing,3,112.28
Beijing,3,110.3
Beijing,3,106.34
Beijing,3,105.44
Beijing,3,92.84
Beijing,3,95.9
Beijing,3,-146.2
Beijing,3,100.04
Beijing,3,99.86
Beijing,3,109.22
Beijing,3,119.48
Beijing,3,111.2
Beijing,3,119.12
Beijing,3,121.64
Beijing,3,138.74
Beijing,3,120.38
Beijing,3,124.88
Beijing,3,134.6
Beijing,3,125.78
Beijing,3,108.32
Beijing,3,118.58
Beijing,3,122
Beijing,3,135.86
Beijing,3,139.1
Beijing,3,138.92
Beijing,3,142.7
Beijing,3,135.32
Beijing,3,147.74
Beijing,4,143.6
Beijing,4,137.3
Beijing,4,134.6
Beijing,4,141.44
Beijing,4,137.66
Beijing,4,135.86
Beijing,4,146.84
Beijing,4,144.68
Beijing,4,136.04
Beijing,4,129.92
Beijing,4,123.62
Beijing,4,126.68
Beijing,4,149.72
Beijing,4,141.08
Beijing,4,143.96
Beijing,4,140
Beijing,4,138.56
Beijing,4,137.84
Beijing,4,130.28
Beijing,4,148.46
Beijing,4,157.1
Beijing,4,148.46
Beijing,4,140.36
Beijing,4,154.4
Beijing,4,155.12
Beijing,4,143.78
Beijing,4,136.94
Beijing,4,150.26
Beijing,4,148.82
Beijing,4,163.76
Beijing,5,168.62
Beijing,5,127.4
Beijing,5,153.86
Beijing,5,162.5
Beijing,5,-146.2
Beijing,5,155.84
Beijing,5,153.5
Beijing,5,156.02
Beijing,5,143.6
Beijing,5,164.12
Beijing,5,161.78
Beijing,5,134.96
Beijing,5,151.34
Beijing,5,130.82
Beijing,5,142.88
Beijing,5,164.12
Beijing,5,170.6
Beijing,5,167.36
Beijing,5,164.84
Beijing,5,160.88
Beijing,5,161.96
Beijing,5,168.44
Beijing,5,147.92
Beijing,5,163.58
Beijing,5,159.8
Beijing,5,169.16
Beijing,5,164.48
Beijing,5,168.98
Beijing,5,168.08
Beijing,5,178.7
Beijing,5,163.58
Beijing,6,167.36
Beijing,6,172.58
Beijing,6,170.42
Beijing,6,171.32
Beijing,6,167.36
Beijing,6,167
Beijing,6,160.88
Beijing,6,170.6
Beijing,6,174.56
Beijing,6,171.32
Beijing,6,172.58
Beijing,6,170.96
Beijing,6,152.78
Beijing,6,150.8
Beijing,6,165.92
Beijing,6,177.8
Beijing,6,168.98
Beijing,6,176.18
Beijing,6,184.64
Beijing,6,177.62
Beijing,6,177.8
Beijing,6,179.42
Beijing,6,168.8
Beijing,6,175.64
Beijing,6,184.46
Beijing,6,187.88
Beijing,6,166.82
Beijing,6,158
Beijing,6,167.72
Beijing,6,176.9
Beijing,7,176.54
Beijing,7,179.24
Beijing,7,179.96
Beijing,7,177.62
Beijing,7,178.34
Beijing,7,182.66
Beijing,7,182.12
Beijing,7,181.76
Beijing,7,188.06
Beijing,7,192.2
Beijing,7,193.28
Beijing,7,171.5
Beijing,7,190.76
Beijing,7,175.46
Beijing,7,159.98
Beijing,7,167.18
Beijing,7,175.46
Beijing,7,173.12
Beijing,7,167.18
Beijing,7,161.24
Beijing,7,168.8
Beijing,7,180.32
Beijing,7,179.42
Beijing,7,183.92
Beijing,7,178.7
Beijing,7,182.3
Beijing,7,180.14
Beijing,7,182.84
Beijing,7,183.92
Beijing,7,174.56
Beijing,7,173.84
Beijing,8,180.5
Beijing,8,184.1
Beijing,8,188.06
Beijing,8,185
Beijing,8,183.38
Beijing,8,182.3
Beijing,8,176.72
Beijing,8,177.62
Beijing,8,182.3
Beijing,8,187.88
Beijing,8,190.58
Beijing,8,176.72
Beijing,8,175.64
Beijing,8,183.92
Beijing,8,166.28
Beijing,8,177.8
Beijing,8,171.32
Beijing,8,164.84
Beijing,8,178.7
Beijing,8,176.36
Beijing,8,182.3
Beijing,8,182.66
Beijing,8,175.28
Beijing,8,181.04
Beijing,8,163.58
Beijing,8,166.1
Beijing,8,168.62
Beijing,8,171.14
Beijing,8,170.06
Beijing,8,169.52
Beijing,8,184.64
Beijing,9,163.04
Beijing,9,166.82
Beijing,9,173.12
Beijing,9,166.64
Beijing,9,170.06
Beijing,9,175.82
Beijing,9,163.58
Beijing,9,169.34
Beijing,9,168.08
Beijing,9,168.44
Beijing,9,157.28
Beijing,9,163.58
Beijing,9,161.78
Beijing,9,163.94
Beijing,9,169.52
Beijing,9,166.46
Beijing,9,155.84
Beijing,9,145.4
Beijing,9,150.98
Beijing,9,153.14
Beijing,9,-146.2
Beijing,9,154.4
Beijing,9,158.36
Beijing,9,162.68
Beijing,9,161.96
Beijing,9,151.34
Beijing,9,140
Beijing,9,131.54
Beijing,9,139.64
Beijing,9,147.38
Beijing,10,148.82
Beijing,10,156.02
Beijing,10,161.6
Beijing,10,138.2
Beijing,10,141.62
Beijing,10,137.3
Beijing,10,131.18
Beijing,10,121.28
Beijing,10,121.28
Beijing,10,127.94
Beijing,10,136.04
Beijing,10,134.42
Beijing,10,140.18
Beijing,10,135.86
Beijing,10,138.2
Beijing,10,135.86
Beijing,10,143.06
Beijing,10,141.62
Beijing,10,142.88
Beijing,10,130.1
Beijing,10,125.6
Beijing,10,122.9
Beijing,10,122
Beijing,10,117.68
Beijing,10,127.4
Beijing,10,128.84
Beijing,10,116.06
Beijing,10,111.02
Beijing,10,108.86
Beijing,10,109.22
Beijing,10,96.26
Beijing,11,94.82
Beijing,11,104.9
Beijing,11,104.9
Beijing,11,110.3
Beijing,11,117.5
Beijing,11,112.64
Beijing,11,110.84
Beijing,11,102.38
Beijing,11,104.72
Beijing,11,106.7
Beijing,11,-146.2
Beijing,11,116.24
Beijing,11,113.72
Beijing,11,113.36
Beijing,11,104
Beijing,11,106.88
Beijing,11,109.4
Beijing,11,110.66
Beijing,11,117.86
Beijing,11,94.46
Beijing,11,80.06
Beijing,11,78.62
Beijing,11,83.84
Beijing,11,83.48
Beijing,11,89.6
Beijing,11,95
Beijing,11,92.12
Beijing,11,90.32
Beijing,11,95.36
Beijing,11,103.82
Beijing,12,95.18
Beijing,12,93.92
Beijing,12,93.2
Beijing,12,96.08
Beijing,12,87.98
Beijing,12,87.26
Beijing,12,96.44
Beijing,12,97.88
Beijing,12,87.44
Beijing,12,83.48
Beijing,12,91.4
Beijing,12,95.9
Beijing,12,88.88
Beijing,12,83.3
Beijing,12,85.46
Beijing,12,87.08
Beijing,12,86
Beijing,12,87.08
Beijing,12,88.7
Beijing,12,82.76
Beijing,12,92.12
Beijing,12,91.04
Beijing,12,82.04
Beijing,12,79.7
Beijing,12,87.8
Beijing,12,84.38
Beijing,12,84.56
Beijing,12,82.58
Beijing,12,76.82
Beijing,12,72.86
Beijing,12,78.98
Beijing,1,75.2
Beijing,1,85.64
Beijing,1,84.2
Beijing,1,89.42
Beijing,1,86.72
Beijing,1,91.04
Beijing,1,92.66
Beijing,1,98.42
Beijing,1,90.68
Beijing,1,81.68
Beijing,1,86.9
Beijing,1,95
Beijing,1,84.2
Beijing,1,82.76
Beijing,1,79.88
Beijing,1,84.38
Beijing,1,81.32
Beijing,1,82.04
Beijing,1,70.7
Beijing,1,69.62
Beijing,1,73.22
Beijing,1,68.18
Beijing,1,67.46
Beijing,1,78.62
Beijing,1,80.24
Beijing,1,90.86
Beijing,1,83.48
Beijing,1,84.56
Beijing,1,75.38
Beijing,1,82.58
Beijing,1,84.74
Beijing,2,79.52
Beijing,2,82.04
Beijing,2,90.14
Beijing,2,100.22
Beijing,2,102.02
Beijing,2,91.04
Beijing,2,83.3
Beijing,2,87.26
Beijing,2,86.72
Beijing,2,91.58
Beijing,2,90.32
Beijing,2,92.48
Beijing,2,100.76
Beijing,2,86.18
Beijing,2,97.7
Beijing,2,101.48
Beijing,2,92.84
Beijing,2,100.94
Beijing,2,105.8
Beijing,2,87.08
Beijing,2,82.04
Beijing,2,94.46
Beijing,2,101.48
Beijing,2,109.94
Beijing,2,107.24
Beijing,2,107.78
Beijing,2,116.6
Beijing,2,122.18
Beijing,3,100.04
Beijing,3,108.68
Beijing,3,108.86
Beijing,3,111.92
Beijing,3,102.2
Beijing,3,99.68
Beijing,3,104
Beijing,3,118.76
Beijing,3,120.02
Beijing,3,127.76
Beijing,3,131
Beijing,3,111.74
Beijing,3,117.32
Beijing,3,118.94
Beijing,3,114.26
Beijing,3,123.98
Beijing,3,118.94
Beijing,3,128.48
Beijing,3,129.92
Beijing,3,112.82
Beijing,3,119.12
Beijing,3,122.72
Beijing,3,108.86
Beijing,3,100.4
Beijing,3,120.92
